date,ticker,actual_price,fitted_price
2017-09-06,AMD,12.86,11.459279700280787
2017-09-07,AMD,12.63,11.474233269930938
2017-09-08,AMD,12.25,11.489206352958162
2017-09-11,AMD,12.55,11.534242937104304
2017-09-12,AMD,12.3,11.549294328608218
2017-09-13,AMD,12.22,11.564365361139993
2017-09-14,AMD,12.26,11.579456060329719
2017-09-15,AMD,12.52,11.594566451841084
2017-09-18,AMD,13.08,11.64001603744381
2017-09-19,AMD,13.12,11.655205455548403
2017-09-20,AMD,13.74,11.670414694795992
2017-09-21,AMD,13.41,11.685643781051823
2017-09-22,AMD,13.3,11.70089274021485
2017-09-25,AMD,12.61,11.74675911464408
2017-09-26,AMD,12.45,11.762087825102236
2017-09-27,AMD,12.74,11.777436538470322
2017-09-28,AMD,12.74,11.792805280850718
2017-09-29,AMD,12.75,11.808194078379941
2017-10-02,AMD,12.71,11.854481063737076
2017-10-03,AMD,13.42,11.869950343909123
2017-10-04,AMD,13.31,11.88543981042486
2017-10-05,AMD,13.34,11.900949489626075
2017-10-06,AMD,13.23,11.91647940788893
2017-10-09,AMD,13.47,11.963190861325444
2017-10-10,AMD,13.7,11.978802000285512
2017-10-11,AMD,13.88,11.994433510705186
2017-10-12,AMD,14.2,12.010085419167837
2017-10-13,AMD,14.22,12.025757752291522
2017-10-16,AMD,14.26,12.072897566330333
2017-10-17,AMD,14.16,12.088651864973823
2017-10-18,AMD,14.07,12.104426721890496
2017-10-19,AMD,13.95,12.120222163907373
2017-10-20,AMD,13.81,12.136038217886696
2017-10-23,AMD,14.1,12.1836103207465
2017-10-24,AMD,14.25,12.199509091898527
2017-10-25,AMD,12.33,12.215428609850374
2017-10-26,AMD,12.01,12.231368901675163
2017-10-27,AMD,11.84,12.247329994481342
2017-10-30,AMD,10.89,12.295338350404034
2017-10-31,AMD,10.99,12.311382918928762
2017-11-01,AMD,10.8,12.327448424508807
2017-11-02,AMD,10.85,12.3435348944656
2017-11-03,AMD,11.12,12.359642356156185
2017-11-06,AMD,11.93,12.408090965737077
2017-11-07,AMD,12.05,12.424282668648171
2017-11-08,AMD,11.71,12.440495500614805
2017-11-09,AMD,11.12,12.456729489208895
2017-11-10,AMD,11.26,12.472984662038492
2017-11-13,AMD,11.09,12.521877562559864
2017-11-14,AMD,11.12,12.538217749131851
2017-11-15,AMD,11.07,12.55457925852027
2017-11-16,AMD,11.25,12.570962118549994
2017-11-17,AMD,11.38,12.58736635708209
2017-11-20,AMD,11.34,12.636707622849578
2017-11-21,AMD,11.4,12.653197654730247
2017-11-22,AMD,11.37,12.669709204965232
2017-11-24,AMD,11.38,12.702796972854456
2017-11-27,AMD,11.55,12.752590715536412
2017-11-28,AMD,11.17,12.769231966860458
2017-11-29,AMD,10.83,12.785894933869763
2017-11-30,AMD,10.89,12.802579644901684
2017-12-01,AMD,10.73,12.819286128330786
2017-12-04,AMD,10.03,12.86953649730104
2017-12-05,AMD,9.91,12.886330354804437
